year,Indonesia,Malaysia,Other
1961,145700,94846,1238355
1962,141500,108171,1226270
1963,148300,125691,1261079
1964,164000,122913,1283119
1965,156700,150411,1269102
1966,174400,189687,1302118
1967,167699,225758,1275760
1968,181444,282984,1359296
1969,188800,352096,1401575
1970,216827,431069,1289443
1971,249957,580389,1328984
1972,269464,718580,1320572
1973,289677,812614,1310097
1974,347676,1045975,1416540
1975,397253,1257573,1476127
1976,431006,1391965,1498947
1977,457607,1612747,1491440
1978,501284,1785525,1553738
1979,641240,2188699,1698510
1980,721172,2573173,1788608
1981,800060,2822144,1673643
1982,886820,3510920,1776207
1983,982987,3016481,1807385
1984,1147190,3714795,1960522
1985,1243430,4134463,2207314
1986,1350729,4542249,2382855
1987,1506055,4531960,2498712
1988,1713335,5027496,2552180
1989,1964954,6056501,2765604
1990,2412612,6094622,2941871
1991,2657600,6141353,3080251
1992,3266250,6373460,3217914
1993,3421448,7402930,3330737
1994,4008060,7220630,3490472
1995,4479670,7810546,3645648
1996,4898658,8385890,3724973
1997,5385458,9068730,3825610
1998,5902178,8319680,3984160
1999,6011300,10553918,4159753
2000,7000507,10842095,4373567
2001,8396472,11803788,4623486
2002,9622344,11909298,4593005
2003,10440834,13354769,4869830
2004,10830389,13976182,5242848
2005,11861615,14961654,5431438
2006,17350848,15880786,6176561
2007,17664724,15823745,6274518
2008,17539788,17734442,7078681
2009,19324292,17564938,6982472
2010,21958120,16993717,6829718
2011,23995973,18911520,7442031
2012,26015519,18785030,7575321
2013,27782004,19216459,8221094
2014,29278189,19667016,8314950
2015,31070015,19961581,8768838
2016,31487986,17319177,9349726
2017,34940289,19919333,11000986
2018,40567230,19516100,11369863
